Client count: 5, node version: 0.10.0, server version: 2.9.7, parser: javascript
         PING,     1/5 min/max/avg/p95:    0/   5/   0.10/   1.00   2094ms total,  9551.10 ops/sec
         PING,    50/5 min/max/avg/p95:    0/   8/   1.98/   3.00    796ms total, 25125.63 ops/sec
         PING,   200/5 min/max/avg/p95:    1/  14/   6.99/  12.00    702ms total, 28490.03 ops/sec
         PING, 20000/5 min/max/avg/p95:   52/ 581/ 329.40/ 543.10    592ms total, 33783.78 ops/sec
SET small str,     1/5 min/max/avg/p95:    0/   3/   0.11/   1.00   2239ms total,  8932.56 ops/sec
SET small str,    50/5 min/max/avg/p95:    0/   5/   1.94/   3.00    780ms total, 25641.03 ops/sec
SET small str,   200/5 min/max/avg/p95:    0/  15/   7.35/  12.00    738ms total, 27100.27 ops/sec
SET small str, 20000/5 min/max/avg/p95:   41/ 598/ 330.41/ 542.00    605ms total, 33057.85 ops/sec
SET small buf,     1/5 min/max/avg/p95:    0/   4/   0.19/   1.00   3885ms total,  5148.01 ops/sec
SET small buf,    50/5 min/max/avg/p95:    0/  15/   6.79/  11.00   2722ms total,  7347.54 ops/sec
SET small buf,   200/5 min/max/avg/p95:    0/  55/  27.13/  44.00   2726ms total,  7336.76 ops/sec
SET small buf, 20000/5 min/max/avg/p95:  137/2890/1527.15/2730.55   2899ms total,  6898.93 ops/sec
GET small str,     1/5 min/max/avg/p95:    0/   4/   0.10/   1.00   2144ms total,  9328.36 ops/sec
GET small str,    50/5 min/max/avg/p95:    0/   5/   2.23/   4.00    896ms total, 22321.43 ops/sec
GET small str,   200/5 min/max/avg/p95:    1/  17/   8.44/  14.00    848ms total, 23584.91 ops/sec
GET small str, 20000/5 min/max/avg/p95:   40/ 647/ 348.46/ 585.00    662ms total, 30211.48 ops/sec
GET small buf,     1/5 min/max/avg/p95:    0/   3/   0.10/   1.00   2148ms total,  9310.99 ops/sec
GET small buf,    50/5 min/max/avg/p95:    0/   5/   2.24/   4.00    898ms total, 22271.71 ops/sec
GET small buf,   200/5 min/max/avg/p95:    1/  17/   8.42/  14.00    845ms total, 23668.64 ops/sec
GET small buf, 20000/5 min/max/avg/p95:   48/ 597/ 331.91/ 546.00    623ms total, 32102.73 ops/sec
SET large str,     1/5 min/max/avg/p95:    0/   1/   0.11/   1.00   2180ms total,  9174.31 ops/sec
SET large str,    50/5 min/max/avg/p95:    0/   5/   2.07/   4.00    831ms total, 24067.39 ops/sec
SET large str,   200/5 min/max/avg/p95:    0/  17/   7.86/  14.00    790ms total, 25316.46 ops/sec
